,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase
0,00:00:00,304.15,304.15,0.0,0.4132991672688391,100,0.0,90,0,1
1,00:00:05,304.15,304.15,0.0,0.4132991672688391,100,0.0,90,0,1
2,00:00:10,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,100,0.001999999999999993,90,0,1
3,00:00:15,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,100,0.001999999999999993,90,0,1
4,00:00:20,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,100,0.001999999999999993,90,0,1
5,00:00:25,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,100,0.001999999999999993,90,0,1
6,00:00:30,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,100,0.001999999999999993,90,0,1
7,00:00:35,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,100,0.001999999999999993,90,0,1
8,00:00:40,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,100,0.001999999999999993,90,0,1
9,00:00:45,304.54999999999995,304.15,0.3999999999999986,0.4132991672688391,100,0.003999999999999986,90,0,1
10,00:00:50,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,100,0.001999999999999993,90,0,1
11,00:00:55,304.54999999999995,304.4,0.14999999999999858,0.4132991672688391,100,0.0014999999999999857,90,0,1
12,00:01:00,304.75,304.4,0.3500000000000014,0.4132991672688391,100,0.0035000000000000144,90,0,1
13,00:01:05,304.75,304.4,0.3500000000000014,0.4132991672688391,100,0.0035000000000000144,90,0,1
14,00:01:10,304.95,304.65,0.3000000000000007,0.4132991672688391,100,0.003000000000000007,90,0,1
15,00:01:15,304.95,304.65,0.3000000000000007,0.4132991672688391,100,0.003000000000000007,90,0,1
16,00:01:20,305.15,304.65,0.5,0.4132991672688391,100,0.005,90,0,1
17,00:01:25,305.54999999999995,304.65,0.8999999999999986,0.4132991672688391,100,0.008999999999999985,90,0,1
18,00:01:30,305.54999999999995,304.65,0.8999999999999986,0.4132991672688391,100,0.008999999999999985,90,0,1
19,00:01:35,305.95,304.65,1.2999999999999972,0.4132991672688391,100,0.012999999999999972,90,0,1
20,00:01:40,305.75,304.65,1.1000000000000014,0.4132991672688391,100,0.011000000000000015,90,0,1
21,00:01:45,306.15,304.65,1.5,0.4132991672688391,100,0.015,90,0,1
22,00:01:50,306.54999999999995,304.9,1.6499999999999986,0.4132991672688391,100,0.016499999999999987,90,0,1
23,00:01:55,306.54999999999995,304.9,1.6499999999999986,0.4132991672688391,100,0.016499999999999987,90,0,1
24,00:02:00,307.15,304.9,2.25,0.4132991672688391,100,0.0225,90,0,1
25,00:02:05,307.34999999999997,304.9,2.450000000000003,0.4132991672688391,100,0.02450000000000003,90,0,1
26,00:02:10,307.95,305.15,2.799999999999997,0.4132991672688391,100,0.027999999999999973,90,0,1
27,00:02:15,307.95,305.15,2.799999999999997,0.4132991672688391,100,0.027999999999999973,90,0,1
28,00:02:20,308.15,305.15,3.0,0.4132991672688391,100,0.03,90,0,1
29,00:02:25,308.34999999999997,305.4,2.950000000000003,0.4132991672688391,100,0.02950000000000003,90,0,1
30,00:02:30,308.75,305.4,3.3500000000000014,0.4132991672688391,100,0.033500000000000016,90,0,1
31,00:02:35,309.15,305.15,4.0,0.4132991672688391,100,0.04,90,0,1
32,00:02:40,309.54999999999995,305.15,4.399999999999999,0.4132991672688391,100,0.043999999999999984,90,0,1
33,00:02:45,309.54999999999995,305.4,4.149999999999999,0.4132991672688391,100,0.04149999999999999,90,0,1
34,00:02:50,310.15,305.4,4.75,0.4132991672688391,100,0.0475,90,0,1
35,00:02:55,310.54999999999995,305.4,5.149999999999999,0.4132991672688391,100,0.05149999999999998,90,0,1
36,00:03:00,310.95,305.65,5.299999999999997,0.4132991672688391,100,0.05299999999999997,90,0,1
37,00:03:05,311.34999999999997,305.65,5.700000000000003,0.4132991672688391,100,0.05700000000000003,90,0,1
38,00:03:10,311.54999999999995,305.65,5.899999999999999,0.4132991672688391,100,0.05899999999999998,90,0,1
39,00:03:15,311.95,305.9,6.049999999999997,0.4132991672688391,100,0.06049999999999997,90,0,1
40,00:03:20,312.15,305.9,6.25,0.4132991672688391,100,0.0625,90,0,1
41,00:03:25,312.54999999999995,305.9,6.649999999999999,0.4132991672688391,100,0.06649999999999999,90,0,1
42,00:03:30,312.95,306.15,6.799999999999997,0.4132991672688391,100,0.06799999999999998,90,0,1
43,00:03:35,313.34999999999997,306.15,7.200000000000003,0.4132991672688391,100,0.07200000000000002,90,0,1
44,00:03:40,313.95,306.15,7.799999999999997,0.4132991672688391,100,0.07799999999999997,90,0,1
45,00:03:45,314.15,306.15,8.0,0.4132991672688391,100,0.08,90,0,1
46,00:03:50,314.34999999999997,306.65,7.700000000000003,0.4132991672688391,100,0.07700000000000003,90,0,1
47,00:03:55,314.95,306.4,8.549999999999997,0.4132991672688391,100,0.08549999999999996,90,0,1
48,00:04:00,315.54999999999995,306.65,8.899999999999999,0.4132991672688391,100,0.08899999999999998,90,0,1
49,00:04:05,315.75,307.15,8.600000000000001,0.4132991672688391,100,0.08600000000000002,90,0,1
50,00:04:10,316.34999999999997,307.15,9.200000000000003,0.4132991672688391,100,0.09200000000000003,90,0,1
51,00:04:15,316.54999999999995,307.4,9.149999999999999,0.4132991672688391,100,0.09149999999999998,90,0,1
52,00:04:20,317.15,307.15,10.0,0.4132991672688391,100,0.1,90,0,1
53,00:04:25,317.34999999999997,307.4,9.950000000000003,0.4132991672688391,100,0.09950000000000003,90,0,1
54,00:04:30,317.54999999999995,307.4,10.149999999999999,0.4132991672688391,100,0.10149999999999998,90,0,1
55,00:04:35,318.34999999999997,307.4,10.950000000000003,0.4132991672688391,100,0.10950000000000003,90,0,1
56,00:04:40,318.15,307.65,10.5,0.4132991672688391,100,0.105,90,0,1
57,00:04:45,318.95,307.4,11.549999999999997,0.4132991672688391,100,0.11549999999999998,90,0,1
58,00:04:50,318.95,307.9,11.049999999999997,0.4132991672688391,100,0.11049999999999997,90,0,1
59,00:04:55,319.54999999999995,308.15,11.399999999999999,0.4132991672688391,100,0.11399999999999999,90,0,1
60,00:05:00,319.75,308.4,11.350000000000001,0.4132991672688391,100,0.11350000000000002,90,0,1
61,00:05:05,320.34999999999997,308.4,11.950000000000003,0.4132991672688391,100,0.11950000000000002,90,0,1
62,00:05:10,320.75,308.65,12.100000000000001,0.4132991672688391,100,0.12100000000000001,90,0,1
63,00:05:15,320.95,308.9,12.049999999999997,0.4132991672688391,100,0.12049999999999997,90,0,1
64,00:05:20,321.34999999999997,309.15,12.200000000000003,0.4132991672688391,100,0.12200000000000003,90,0,1
65,00:05:25,321.54999999999995,309.15,12.399999999999999,0.4132991672688391,100,0.12399999999999999,90,0,1
66,00:05:30,322.15,309.15,13.0,0.4132991672688391,100,0.13,90,0,1
67,00:05:35,322.75,309.4,13.350000000000001,0.4132991672688391,100,0.1335,90,0,1
68,00:05:40,323.15,309.4,13.75,0.5132909012854937,100,0.1375,90,0,1
69,00:05:45,323.34999999999997,309.4,13.950000000000003,0.5132909012854937,100,0.13950000000000004,90,0,1
70,00:05:50,323.54999999999995,309.4,14.149999999999999,0.5132909012854937,100,0.1415,90,0,1
71,00:05:55,323.95,309.9,14.049999999999997,0.5132909012854937,100,0.14049999999999996,90,0,1
72,00:06:00,324.34999999999997,310.15,14.200000000000003,0.5132909012854937,100,0.14200000000000002,90,0,1
73,00:06:05,324.54999999999995,310.15,14.399999999999999,0.5132909012854937,100,0.144,90,0,1
74,00:06:10,325.15,310.15,15.0,0.5132909012854937,100,0.15,90,0,1
75,00:06:15,325.34999999999997,310.4,14.950000000000003,0.5132909012854937,100,0.14950000000000002,90,0,1
76,00:06:20,325.95,310.4,15.549999999999997,0.5132909012854937,100,0.15549999999999997,90,0,1
77,00:06:25,326.54999999999995,310.65,15.899999999999999,0.5132909012854937,100,0.15899999999999997,90,0,1
78,00:06:30,326.75,310.9,15.850000000000001,0.5132909012854937,100,0.1585,90,0,1
79,00:06:35,327.15,311.15,16.0,0.5132909012854937,100,0.16,90,0,1
80,00:06:40,327.34999999999997,311.15,16.200000000000003,0.5132909012854937,100,0.16200000000000003,90,0,1
81,00:06:45,327.15,311.4,15.75,0.5132909012854937,100,0.1575,90,0,1
82,00:06:50,328.15,311.15,17.0,0.5132909012854937,100,0.17,90,0,1
83,00:06:55,328.34999999999997,311.4,16.950000000000003,0.5132909012854937,100,0.16950000000000004,90,0,1
84,00:07:00,328.54999999999995,311.9,16.65,0.5132909012854937,100,0.16649999999999998,90,0,1
85,00:07:05,328.95,311.9,17.049999999999997,0.5132909012854937,100,0.17049999999999998,90,0,1
86,00:07:10,329.34999999999997,312.4,16.950000000000003,0.5132909012854937,100,0.16950000000000004,90,0,1
87,00:07:15,329.54999999999995,312.15,17.4,0.5132909012854937,100,0.174,90,0,1
88,00:07:20,329.95,312.65,17.299999999999997,0.5132909012854937,100,0.17299999999999996,90,0,1
89,00:07:25,330.15,312.65,17.5,0.5132909012854937,100,0.175,90,0,1
90,00:07:30,330.54999999999995,312.65,17.9,0.5132909012854937,100,0.179,90,0,1
91,00:07:35,331.15,313.4,17.75,0.5132909012854937,100,0.1775,90,0,1
92,00:07:40,331.34999999999997,313.4,17.950000000000003,0.5799520572965968,100,0.17950000000000002,90,0,1
93,00:07:45,331.75,313.4,18.35,0.5799520572965968,100,0.18350000000000002,90,0,1
94,00:07:50,331.95,313.65,18.299999999999997,0.5799520572965968,100,0.18299999999999997,90,0,1
95,00:07:55,331.95,313.9,18.049999999999997,0.5799520572965968,100,0.18049999999999997,90,0,1
96,00:08:00,332.75,313.9,18.85,0.5799520572965968,100,0.1885,90,0,1
97,00:08:05,332.95,314.15,18.799999999999997,0.6132826353021483,100,0.18799999999999997,90,0,1
98,00:08:10,333.54999999999995,314.15,19.4,0.6132826353021483,100,0.19399999999999998,90,0,1
99,00:08:15,333.95,314.15,19.799999999999997,0.6132826353021483,100,0.19799999999999998,90,0,1
