,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,Fluid
0,00:00:00,308.54999999999995,307.15,1.3999999999999986,0.3799685892632876,40,0.0349999999999999,90,0,1,DI_Water
1,00:00:05,308.54999999999995,307.15,1.3999999999999986,0.3799685892632876,40,0.0349999999999999,90,0,1,DI_Water
2,00:00:10,308.75,307.15,1.6000000000000014,0.3799685892632876,40,0.04,90,0,1,DI_Water
3,00:00:15,308.54999999999995,307.15,1.3999999999999986,0.3799685892632876,40,0.0349999999999999,90,0,1,DI_Water
4,00:00:20,308.54999999999995,307.15,1.3999999999999986,0.3799685892632876,40,0.0349999999999999,90,0,1,DI_Water
5,00:00:25,308.75,307.15,1.6000000000000014,0.3799685892632876,40,0.04,90,0,1,DI_Water
6,00:00:30,308.54999999999995,307.15,1.3999999999999986,0.3799685892632876,40,0.0349999999999999,90,0,1,DI_Water
7,00:00:35,308.54999999999995,307.15,1.3999999999999986,0.3799685892632876,40,0.0349999999999999,90,0,1,DI_Water
8,00:00:40,308.54999999999995,306.9,1.6499999999999986,0.3799685892632876,40,0.0412499999999999,90,0,1,DI_Water
9,00:00:45,308.54999999999995,307.15,1.3999999999999986,0.3799685892632876,40,0.0349999999999999,90,0,1,DI_Water
10,00:00:50,308.75,307.15,1.6000000000000014,0.3799685892632876,40,0.04,90,0,1,DI_Water
11,00:00:55,308.95,306.9,2.049999999999997,0.3799685892632876,40,0.0512499999999999,90,0,1,DI_Water
12,00:01:00,308.75,307.15,1.6000000000000014,0.3799685892632876,40,0.04,90,0,1,DI_Water
13,00:01:05,308.75,307.15,1.6000000000000014,0.3799685892632876,40,0.04,90,0,1,DI_Water
14,00:01:10,309.15,307.15,2.0,0.3799685892632876,40,0.05,90,0,1,DI_Water
15,00:01:15,308.75,307.15,1.6000000000000014,0.3799685892632876,40,0.04,90,0,1,DI_Water
16,00:01:20,309.15,306.9,2.25,0.3799685892632876,40,0.05625,90,0,1,DI_Water
17,00:01:25,308.95,307.15,1.7999999999999972,0.3799685892632876,40,0.0449999999999999,90,0,1,DI_Water
18,00:01:30,309.15,307.15,2.0,0.3799685892632876,40,0.05,90,0,1,DI_Water
19,00:01:35,309.15,307.15,2.0,0.3799685892632876,40,0.05,90,0,1,DI_Water
20,00:01:40,309.35,307.15,2.200000000000003,0.3799685892632876,40,0.055,90,0,1,DI_Water
21,00:01:45,309.54999999999995,307.15,2.3999999999999986,0.3799685892632876,40,0.0599999999999999,90,0,1,DI_Water
22,00:01:50,309.54999999999995,307.15,2.3999999999999986,0.3799685892632876,40,0.0599999999999999,90,0,1,DI_Water
23,00:01:55,309.75,306.9,2.8500000000000014,0.3799685892632876,40,0.07125,90,0,1,DI_Water
24,00:02:00,309.54999999999995,307.15,2.3999999999999986,0.3799685892632876,40,0.0599999999999999,90,0,1,DI_Water
25,00:02:05,309.95,307.15,2.799999999999997,0.3799685892632876,40,0.0699999999999999,90,0,1,DI_Water
26,00:02:10,309.95,307.15,2.799999999999997,0.3799685892632876,40,0.0699999999999999,90,0,1,DI_Water
27,00:02:15,310.15,307.15,3.0,0.3799685892632876,40,0.075,90,0,1,DI_Water
28,00:02:20,310.35,307.15,3.200000000000003,0.3799685892632876,40,0.08,90,0,1,DI_Water
29,00:02:25,310.35,307.4,2.950000000000003,0.3799685892632876,40,0.07375,90,0,1,DI_Water
30,00:02:30,310.54999999999995,307.15,3.3999999999999986,0.3799685892632876,40,0.0849999999999999,90,0,1,DI_Water
